"variable","ap","count","frac"
"G.G10.A.2","processing",51,0.0102533172496984
"G.G10.A.2","unknown",1137,0.228588661037394
"G.G10.A.3","non-processing",3395,0.682000803535556
"G.G10.A.3","processing",81,0.0162715950180796
"G.G10.A.3","unknown",1502,0.301727601446364
"G.G10.1.1","non-processing",3505,0.702404809619238
"G.G10.1.1","processing",90,0.0180360721442886
"G.G10.1.1","unknown",1395,0.279559118236473
"G.G10.1.2","non-processing",3433,0.689219032322827
"G.G10.1.2","processing",73,0.0146556916281871
"G.G10.1.2","unknown",1475,0.296125276048986
"G.G10.1.3","non-processing",3715,0.746583601286174
"G.G10.1.3","processing",79,0.0158762057877814
"G.G10.1.3","unknown",1182,0.237540192926045
"G.G10.100.1","non-processing",3691,0.741611412497488
"G.G10.100.1","processing",59,0.0118545308418726
"G.G10.100.1","unknown",1227,0.246534056660639
"G.G10.100.2","non-processing",2537,0.508620689655172
"G.G10.100.2","processing",119,0.0238572574178027
"G.G10.100.2","unknown",2332,0.467522052927025
"G.G10.100.3","non-processing",3955,0.795774647887324
"G.G10.100.3","processing",80,0.0160965794768612
"G.G10.100.3","unknown",935,0.188128772635815
"G.G10.200.2","non-processing",3096,0.620565243535779
"G.G10.200.2","processing",55,0.0110242533573863
"G.G10.200.2","unknown",1838,0.368410503106835
"G.G10.200.3","non-processing",3078,0.617824167001204
"G.G10.200.3","processing",52,0.0104375752709755
"G.G10.200.3","unknown",1852,0.37173825772782
"S.W.293.1","non-processing",3320,0.668008048289738
"S.W.293.1","processing",16,0.00321931589537223
"S.W.293.1","unknown",1634,0.328772635814889
"S.W.293.2","non-processing",3480,0.698234349919743
"S.W.293.2","processing",33,0.00662118780096308
"S.W.293.2","unknown",1471,0.295144462279294
"S.W.293.3","non-processing",3218,0.645019041892163
"S.W.293.3","processing",25,0.00501102425335739
"S.W.293.3","unknown",1746,0.34996993385448
"S.W.104.1","non-processing",2524,0.507030936118923
"S.W.104.1","processing",7,0.00140618722378465
"S.W.104.1","unknown",2447,0.491562876657292
"S.W.104.2","non-processing",2838,0.568281938325991
"S.W.104.2","processing",9,0.00180216259511414
"S.W.104.2","unknown",2147,0.429915899078895
"S.W.104.3","non-processing",2671,0.535163293929072
"S.W.104.3","processing",20,0.00400721298337007
"S.W.104.3","unknown",2300,0.460829493087558
"S.B.104.1","non-processing",2508,0.503715605543282
"S.B.104.1","processing",6,0.00120506125728058
"S.B.104.1","unknown",2465,0.495079333199438
"S.B.104.2","non-processing",2460,0.493282534589934
"S.B.104.2","processing",13,0.00260677762181672
"S.B.104.2","unknown",2514,0.504110687788249
"S.B.104.3","non-processing",2724,0.546548956661316
"S.B.104.3","processing",8,0.00160513643659711
"S.B.104.3","unknown",2252,0.451845906902087
"S.D.104.1","non-processing",2717,0.545253863134658
"S.D.104.1","processing",3,0.000602046959662854
"S.D.104.1","unknown",2263,0.454144089905679
"S.D.104.2","non-processing",2700,0.542168674698795
"S.D.104.2","processing",10,0.00200803212851406
"S.D.104.2","unknown",2270,0.455823293172691
"S.D.104.3","non-processing",2836,0.568336673346693
"S.D.104.3","processing",9,0.00180360721442886
"S.D.104.3","unknown",2145,0.429859719438878
"S.C.104.1","non-processing",3010,0.602964743589744
"S.C.104.1","processing",23,0.00460737179487179
"S.C.104.1","unknown",1959,0.392427884615385
"S.C.104.2","non-processing",2818,0.564729458917836
"S.C.104.2","processing",38,0.00761523046092184
"S.C.104.2","unknown",2134,0.427655310621243
"S.C.104.3","non-processing",2825,0.566472829356326
"S.C.104.3","processing",7,0.00140364948867054
"S.C.104.3","unknown",2155,0.432123521155003
"S.W.175.1","non-processing",3740,0.750551876379691
"S.W.175.1","processing",27,0.00541842263696568
"S.W.175.1","unknown",1216,0.244029700983343
"S.W.175.2","non-processing",3715,0.748237663645519
"S.W.175.2","processing",22,0.00443101711983887
"S.W.175.2","unknown",1228,0.247331319234642
"S.W.175.3","non-processing",3651,0.733574442435202
"S.W.175.3","processing",74,0.0148683946152301
"S.W.175.3","unknown",1252,0.251557162949568
"S.W.305.1","non-processing",3553,0.713167402649538
"S.W.305.1","processing",13,0.00260939381774388
"S.W.305.1","unknown",1416,0.284223203532718
"S.W.305.2","non-processing",3855,0.773940975707689
"S.W.305.2","processing",12,0.00240915478819514
"S.W.305.2","unknown",1114,0.223649869504116
"S.W.305.3","non-processing",3919,0.786158475426279
"S.W.305.3","processing",11,0.00220661985957874
"S.W.305.3","unknown",1055,0.211634904714142
"S.B.305.1","non-processing",3787,0.760747288067497
"S.B.305.1","processing",9,0.00180795500200884
"S.B.305.1","unknown",1182,0.237444756930494
"S.B.305.2","non-processing",3310,0.664792126933119
"S.B.305.2","processing",18,0.00361518377184174
"S.B.305.2","unknown",1651,0.331592689295039
"S.B.305.3","non-processing",3792,0.760987357013847
"S.B.305.3","processing",7,0.00140477623921333
"S.B.305.3","unknown",1184,0.23760786674694
"S.D.305.1","non-processing",3630,0.727454909819639
"S.D.305.1","processing",29,0.00581162324649299
"S.D.305.1","unknown",1331,0.266733466933868
"S.D.305.2","non-processing",3578,0.718906972071529
"S.D.305.2","processing",7,0.00140646976090014
"S.D.305.2","unknown",1392,0.279686558167571
"S.D.305.3","non-processing",3462,0.69700020132877
"S.D.305.3","processing",7,0.00140930138916851
"S.D.305.3","unknown",1498,0.301590497282062
"S.C.305.1","non-processing",3863,0.775858606145812
"S.C.305.1","processing",8,0.00160674834304077
"S.C.305.1","unknown",1108,0.222534645511147
"S.C.305.2","non-processing",3798,0.76295701084773
"S.C.305.2","processing",10,0.00200883889112093
"S.C.305.2","unknown",1170,0.235034150261149
"S.C.305.3","non-processing",3833,0.770917135961384
"S.C.305.3","processing",10,0.00201126307320998
"S.C.305.3","unknown",1129,0.227071600965406
